smiles,is_druggable,mol_weight,num_H_acceptors,num_H_donors,logp,tpsa,num_rot_bonds,saturation,drug_score_qed,drug_score_lipinski,drug_score_custom,drug_score_total
C=C(C)NC1=CC=CC(=C1C)CC=C2C=CN=C2C(C)CC(=C)C=C,False,332.491,2,1,6.15,24.39,8,0.26,0.57,0.75,0.57,0.6
CC(C)(CC1=CC2C1C=CC(=N2)C)C=C3C(CC)(C)OC#CCCC(=O)C=C3,False,377.528,3,0,5.35,38.66,4,0.52,0.49,0.75,0.76,0.62
C1COCC(C=NC=CC=CN2CC=CC12)CNN,False,262.357,5,2,0.82,62.88,2,0.5,0.44,1.0,0.8,0.65
C1CN=CCC1(C=C)C=CC=O,False,163.22,2,0,1.78,29.43,3,0.4,0.35,1.0,0.65,0.56
C12=C(C)NC(=C3)C1(C=C2C4)C5(OC3CC4O)C(=CC)C5C=O,True,297.354,4,2,1.74,58.56,1,0.5,0.57,1.0,0.86,0.74
C1CC=C(C=NN(C)C2=CC1=C3)NC2NC=C3N=CCCCC=CC(C=CCC)(O)C,False,421.589,6,3,4.28,72.25,8,0.44,0.31,1.0,0.55,0.5
CC(C)(C)NC=O,False,101.149,1,1,0.53,29.1,1,0.8,0.48,1.0,0.55,0.59
CC(C)NC=C(CCC1CC2C3C2N4COC43CC1)C=O,True,290.407,4,1,2.26,41.57,6,0.82,0.6,1.0,0.86,0.75
CC(C)C=CN1C=C1OC=C(C2=CC)C(C=C2C)CC,False,271.404,2,0,5.1,12.24,5,0.44,0.64,0.75,0.66,0.66
C1C(C)C(=C)NC2=CC=C1C#C2,False,157.216,1,1,2.4,12.03,0,0.27,0.61,1.0,0.49,0.64
C1CC=C1,False,54.092,0,0,1.34,0.0,0,0.5,0.37,1.0,0.42,0.49
C1=C(CC1C#CCCNC=NCC=CC=CC(C)C)N=N,False,284.407,3,2,3.7,60.6,8,0.47,0.18,1.0,0.81,0.53
C1=C2CC1=CC2=CC=C,False,116.163,0,0,2.37,0.0,1,0.11,0.49,1.0,0.38,0.54
CC(C)(C)C1C(=C)N=C=C(C=CC=CC=CC=C1C=CC)C2=CC(=C)C3=C2C(=C)CC3=C,False,419.612,1,0,8.25,12.36,2,0.23,0.43,0.75,0.37,0.46
C1C[C@H1]CNC[C@@H1]1C=CCOC(=O)C=CC=N,False,235.307,4,2,1.5,62.18,5,0.46,0.33,1.0,0.84,0.61
C1C=C2CC2(C1=C)CC(CC)C=C,False,174.287,0,0,3.87,0.0,4,0.54,0.57,1.0,0.56,0.64
C12CC=CC(=C1)CN(N=C(C=C23)C(=C)C)CC3=C,True,238.334,2,0,3.23,15.6,1,0.31,0.68,1.0,0.61,0.71
C12CCN3C(=C)C2=C3C=C1CC,False,159.232,1,0,2.44,3.24,1,0.45,0.57,1.0,0.51,0.62
COC=C(C=CC=CC1=CC=C2C=N1)C=C2NN=C(C)C=CC=CCC,False,347.462,4,1,5.02,46.51,6,0.18,0.34,0.75,0.72,0.54
CC(C)=O,False,58.08,1,0,0.6,17.07,0,0.67,0.4,1.0,0.49,0.53
CCNCC=C(NCN1)C(=CNC=CC2=CCCCC1C=CC3=CC=C)C=C23,False,376.548,4,4,3.7,48.12,4,0.33,0.57,1.0,0.68,0.68
C1C(=C=C=C)N(CN1CCCC)C=C(CCC)N2CC2=NO,False,302.422,4,1,2.93,42.08,7,0.59,0.34,1.0,0.91,0.64
CNC=CC=C(C)NN(O)C1=C=CNC(=O)NC=CC=CC(=C)C12C=CC=CC2C,False,407.518,5,5,3.5,88.66,5,0.22,0.27,1.0,0.56,0.49
C1=C=CC(C=C1C2CNC=CC2(C)NC=CC)(C)C=C3C=CC#CC3CN,False,359.517,3,3,3.33,50.08,5,0.38,0.52,1.0,0.77,0.68
C12NC=CC1(C)C2NCOC=O,False,168.196,4,2,-0.42,50.36,4,0.62,0.34,1.0,0.77,0.59
CNC=CCCC#CC=C(C)C1(C(C)CN=N1)C=CCCCC=CCCNC,False,382.596,4,2,5.18,48.78,12,0.58,0.28,0.75,0.69,0.49
C1N(C)CCCCNCNC=CC=C1C2C=C(N)C=CC=CC3=CC=CC=C23,True,376.548,4,3,3.5,53.32,1,0.33,0.7,1.0,0.67,0.74
C=1CNC#CN=1,False,80.09,2,1,-0.42,24.39,0,0.25,0.39,1.0,0.46,0.52
C12=CC=C(C=C1C(=C)CO2)C=N,False,159.188,2,1,2.09,33.08,1,0.1,0.63,1.0,0.62,0.69
COCC(NNC=C)(N)C(=CC=C=CC=CCC=C1C=C2)NC=C1C=C2,False,350.466,5,4,0.89,71.34,6,0.19,0.35,1.0,0.59,0.54
C1[C@H1]=CNC1C(CCN2C=CC3C4C)(N)C=C3C4OC2C=CCC,True,327.472,4,2,2.66,50.52,3,0.6,0.78,1.0,0.94,0.87
C1=CC=CC(=C1)C=C(NNNCN2C=CC)N=C2,True,243.314,5,3,1.42,51.69,2,0.15,0.74,1.0,0.65,0.75
C12NC=C3C#CCNC34C1=C5C=C2N4CC56C=C6,False,233.274,3,2,0.22,27.3,0,0.33,0.46,1.0,0.63,0.61
CN(C1)C(=N2)C2(CC1)C,False,124.187,2,0,0.88,15.6,0,0.86,0.47,1.0,0.49,0.56
CCCN(C(=CCCC)OCO1)NCNC(=N)C=C1C=CCC2=CC2N,False,361.49,6,4,2.47,95.63,7,0.53,0.52,1.0,0.66,0.65
C1=CC=C2C(=C1)C(=NNC2=O)C3=CC=C(C=C3NC(=O)C4=CC)CC=C4S(=O)(=O)NCCN,False,465.535,6,4,1.79,147.04,5,0.17,0.42,1.0,0.43,0.52
CC1=CC=C(O1)C=CCCCNC2=C=C2C,False,215.296,2,1,3.41,25.17,6,0.36,0.58,1.0,0.7,0.69
CN1C#CC=C=C1N,False,106.128,2,1,-0.15,29.26,0,0.17,0.34,1.0,0.48,0.5
CN=C(O)C=CC=C1C=C1CC=C=CC=O,False,215.252,2,1,2.3,49.66,5,0.15,0.25,1.0,0.76,0.55
C1CCN=C1NC=CC(O)NC=C(CN=C=C)C(CC=C)CNC(C)F,False,363.481,6,4,2.03,81.04,12,0.53,0.19,1.0,0.59,0.46
C=CC,False,42.081,0,0,1.19,0.0,0,0.33,0.36,1.0,0.33,0.46
C1C=C(C)C(C2C=C)OCCCNC(=C3)C3=C2C1C#CC=O,False,295.382,3,1,2.53,38.33,1,0.42,0.46,1.0,0.84,0.68
C12C(C)C(C)(C1C=C=NN2)CCC=C(CCCNCC(CF)NCCC)C,False,378.58,4,3,3.81,48.45,13,0.82,0.34,1.0,0.62,0.54
COCC1C=CN=CC(=CC=CC=CS1C=C)C(C=C(N)NP(=C)C)CCC=O,False,435.574,5,3,3.92,76.71,10,0.32,0.28,1.0,0.49,0.47
CC=C(CC=O)C1C(C)N=CN=C2CCCC=C2NC1C(=O)N,True,316.405,5,2,1.52,96.91,4,0.53,0.61,1.0,0.85,0.76
CC1=CCCC2C1C3NC3C2=N,False,162.236,2,2,1.33,45.79,0,0.7,0.41,1.0,0.71,0.61
C=12OC=1CC(=C2)C=NC(=O)NCNC=CC=CC=CC=CC(OO)CC,False,357.41,5,3,3.34,95.48,10,0.26,0.14,1.0,0.55,0.42
C1=CO1,False,42.037,1,0,0.49,12.53,0,0.0,0.38,1.0,0.34,0.47
CC(C)(C)N(C(=O)N(C(=O)C=CC=C1C=C[O-1])C)CCO1,True,293.343,4,0,1.01,72.91,1,0.47,0.68,1.0,0.78,0.77
C1C2=C(C)C(=C2C1)C=CCSC=O,False,192.283,2,0,2.89,17.07,4,0.36,0.5,1.0,0.64,0.63
C1=CC=C(C2=C1C)CC=C2NC3=NC=C(C=N3)C=CCNC4=CSNC=C4C,False,389.528,6,3,4.39,61.87,6,0.18,0.64,1.0,0.56,0.67
C1=CC=CCO1,False,82.102,1,0,1.09,9.23,0,0.2,0.42,1.0,0.36,0.5
CNC1=C2C(C1=C)C=C2CNC(=N)C=CC=CC=C,False,253.349,2,3,2.45,47.91,6,0.19,0.39,1.0,0.69,0.59
C1NC(=O)NC12CC=C(C=C2)OC3=C=C3C=C(O)CSCC=C,False,330.409,4,3,2.68,70.59,7,0.29,0.29,1.0,0.71,0.55
C1NCC2CC1C=CN2CC=O,True,166.224,3,1,-0.01,32.34,2,0.67,0.59,1.0,0.76,0.72
CCOC=1C2=C=CC(=C=1)C2C=C=NC=CC=CC=C,False,249.313,2,0,3.64,21.59,6,0.18,0.4,1.0,0.63,0.58
C=CCC=CC=CC(=C1)N(C=C(C)C1C2=CC)CS2C,False,287.472,1,1,4.9,3.24,4,0.33,0.44,1.0,0.61,0.59
C=CC=C(C)C=C(N=C=CNCSC1=CC=CC)C1CCCC=CC=CC=CC#C,False,416.634,3,1,7.03,24.39,9,0.26,0.25,0.75,0.49,0.41
CCC=C(N=C1C2(C=O)CC1=N2)C=O,False,190.202,4,0,0.72,58.86,4,0.4,0.48,1.0,0.72,0.65
C1N(C=CC(=C1C)CNC)NC2=CN=CC=C2NC(=C3)C=C(NC3)O,False,340.431,7,5,2.07,84.48,6,0.28,0.54,1.0,0.58,0.63
CCC=C=CC1=C(CN=CC1=NNCC=CCC=CN(C)CC)O,False,328.46,5,2,3.36,60.22,9,0.42,0.3,1.0,0.71,0.55
CCCC1C=CC=CC1=C,False,134.222,0,0,3.08,0.0,2,0.4,0.54,1.0,0.46,0.59
CNCCC=O,False,87.122,2,1,-0.21,29.1,3,0.75,0.38,1.0,0.65,0.57
C1=CC=C(C1C)C=NC=CC=CC=C2N=C=C=C=N2,False,247.301,3,0,3.17,37.08,4,0.12,0.42,1.0,0.74,0.62
COC1=NC=CC(=C1)C(=O)NCN2C=CC=CC2(C)C3(C)C(CC=C3)C,True,353.466,4,1,3.52,54.46,5,0.43,0.82,1.0,0.86,0.86
CC(C)OCCNC=NC=CCC=C(CC1)CC(=C2)C2(C1)C,False,302.462,2,1,4.38,33.62,8,0.63,0.31,1.0,0.8,0.59
C=CC1(C=C(C)N=C=NC1C=CC)OC=CC=CC=C=CC(C)CCCCC,False,378.56,3,0,6.96,33.95,11,0.44,0.13,0.75,0.54,0.37
C1=C2C=C(C=C2)CC(C=C1C)C=CC#CC(=C)C=CC(=C)CC=C(C3)C3C=CC,False,378.559,0,0,7.52,0.0,6,0.24,0.25,0.75,0.36,0.37
CC(C)CCCNC=C1C=NSC1=NCC=NCNC#CCC=C(C)C,False,373.57,6,2,3.96,61.14,10,0.55,0.15,1.0,0.69,0.47
COC=CC1C=CC=C(C)CC(=N2)NC(C)C=C12,True,244.338,3,1,2.94,33.62,2,0.4,0.76,1.0,0.82,0.82
CC=C(CC)CC=NC1=CN=CN=C=CC=CN=CC=CC1=C,False,306.413,4,0,4.61,49.44,4,0.21,0.54,1.0,0.73,0.68
C=CCCC=CC1C=C1C(=C)C(=O)CNC=CC=CN(C=N)C2CN2C=CC(C)CCC=CC,False,460.666,4,2,5.86,59.2,18,0.38,0.05,0.75,0.51,0.32
C1=CC=CC=C1CC2=CC3=C4C=C2C=C3O4,False,206.244,1,0,3.97,9.23,2,0.07,0.48,1.0,0.49,0.57
C=CC=CCC=C=CC1NC=CC=C1NC=CC=C(C#CC)C(=C)CCl,False,364.92,2,2,5.05,24.06,9,0.17,0.26,0.75,0.52,0.43
C1CCCC(CNC(=C)C=C2N=N1)(C)C=C2,True,217.316,3,1,3.19,36.75,0,0.54,0.66,1.0,0.81,0.77
C=COCCCCCC=CC1=NC=C2CC1CCC=CCC2=C,False,311.469,2,0,5.9,21.59,8,0.48,0.31,0.75,0.61,0.48
C1OC2=CCC(CC2N=N)(C)N1C=C(CC#C)C3=CCCC=C3C(COCC)=C=C,False,405.542,5,1,5.41,57.91,8,0.48,0.33,0.75,0.65,0.51
C12C=CCCOS(N3C1)CCC=C32,False,197.303,2,1,2.01,12.47,0,0.6,0.47,1.0,0.72,0.64
C=CC=CC=C(CONC=CC1C(CC=C12)N)C=C=C=N2,True,281.359,4,2,2.32,59.64,2,0.24,0.6,1.0,0.79,0.73
C1CCCC=C1C=C=C2NC=NC=COOC=NC=CC=C2CC=CC,False,351.45,5,1,5.01,55.21,3,0.29,0.44,0.75,0.72,0.58
C1C=CC=CC2=C1N2CNC=NC=CC=CCCOC,False,271.364,3,1,2.71,36.63,8,0.31,0.32,1.0,0.76,0.58
C1CC=NC1,False,69.107,1,0,0.85,12.36,0,0.75,0.4,1.0,0.46,0.52
CCC=CC=CNC(C)CCCC=CNC=NC=CC=CC,False,301.478,2,2,4.84,36.42,12,0.42,0.23,1.0,0.63,0.49
C12NC3N2C=C1C3=CC=CNCC(C=NC4=CCN)(C)C4CC=O,False,325.416,6,3,0.62,82.75,7,0.44,0.6,1.0,0.64,0.68
C=C=CCC(NC=CC(C)C1=O)CC(=C)C1NC2=C=C=CC(C2C3C)O3,True,350.462,4,2,2.92,50.36,4,0.45,0.6,1.0,0.87,0.76
C[C@@H1](C)N1CNN=C2CN2C(=CC1N)C,True,209.297,5,2,0.08,56.66,1,0.7,0.6,1.0,0.72,0.71
C=CC=CC(C)C(N)C=CC=CC=CNC=CN1C2NCCC1=C2CC=CN=CC(=O)CC=O,False,461.61,7,3,3.4,99.82,15,0.3,0.15,1.0,0.4,0.38
